0	0
1	-1
2	2
3	-2
4	1

0	0
1	8
2	7
3	9
4	6
5	9
6	8
7	11

0	0
1	3
2	11
3	9
4	7
5	10
6	6
7	0
8	8
9	-2
10	4
11	9
12	3

0	0
1	5
2	4

0	-5
1	-16
2	-15
3	-12
4	-8
5	-8
6	-13
7	-11
8	-10
9	-16
10	-9

0	0
1	4
2	2
3	6
4	3
5	3
6	12
7	11
8	7
9	8
10	Infinte (vertex disjoint graph)
11	6
12	Infinte (vertex disjoint graph)
13	5
14	4
15	3
16	2
17	6
18	11
19	10

0	0
1	3
2	9
3	10
4	8
5	12
6	15
7	10
8	13
9	24
10	11
11	17
12	10
13	19
14	22

0	0
1	-1
2	2
3	-2
4	1

0	0
1	8
2	7
3	9
4	6
5	9
6	8
7	11

0	0
1	3
2	11
3	9
4	7
5	10
6	6
7	0
8	8
9	-2
10	4
11	9
12	3

0	0
1	5
2	4

0	-5
1	-16
2	-15
3	-12
4	-8
5	-8
6	-13
7	-11
8	-10
9	-16
10	-9

0	0
1	4
2	2
3	6
4	3
5	3
6	12
7	11
8	7
9	8
10	Infinte (vertex disjoint graph)
11	6
12	Infinte (vertex disjoint graph)
13	5
14	4
15	3
16	2
17	6
18	11
19	10

0	0
1	3
2	9
3	10
4	8
5	12
6	15
7	10
8	13
9	24
10	11
11	17
12	10
13	19
14	22

